file_name,width,height,file_size_mb,status,label_status,plane_count,baseball-diamond_count,bridge_count,ground-track-field_count,small-vehicle_count,large-vehicle_count,ship_count,tennis-court_count,basketball-court_count,storage-tank_count,soccer-ball-field_count,roundabout_count,harbor_count,swimming-pool_count,helicopter_count
P0704__1024__0___0.png,1024,1024,1.6812,success,success,0,0,0,0,0,0,75,0,0,0,0,0,3,0,0
P1408__1024__4120___2472.png,1024,1024,0.7048,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1750__1024__0___2472.png,1024,1024,0.7028,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1633__1024__2472___2472.png,1024,1024,0.7385,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1272__1024__0___824.png,1024,1024,0.1425,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1185__1024__359___0.png,1024,1024,1.9286,success,success,0,0,0,0,2,62,0,0,0,1,0,0,0,0,0
P1868__1024__5768___824.png,1024,1024,2.0925,success,success,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0050__1024__824___2100.png,1024,1024,1.7527,success,success,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0
P1570__1024__1648___3940.png,1024,1024,0.7998,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2550__1024__2472___3195.png,1024,1024,0.8531,success,success,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1874__1024__824___1648.png,1024,1024,1.4595,success,success,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1580__1024__2472___824.png,1024,1024,1.1312,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P2288__1024__1800___3296.png,1024,1024,1.6868,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0898__1024__824___2472.png,1024,1024,1.3101,success,success,0,0,0,0,0,0,178,0,0,0,0,0,3,0,0
P1521__1024__2976___2976.png,1024,1024,0.8671,success,success,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
P2330__1024__2472___3054.png,1024,1024,0.2561,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1560__1024__2976___1648.png,1024,1024,0.5321,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1854__1024__11536___824.png,1024,1024,2.1746,success,success,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
P1688__1024__824___2472.png,1024,1024,0.6899,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1438__1024__0___1648.png,1024,1024,2.0107,success,success,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
P1743__1024__0___2472.png,1024,1024,0.8378,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0233__1024__145___0.png,1024,1024,1.7803,success,success,0,0,0,0,33,30,0,0,0,0,0,0,0,0,0
P2655__1024__3943___0.png,1024,1024,0.8542,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0050__1024__1535___824.png,1024,1024,1.6294,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1341__1024__824___1648.png,1024,1024,1.7288,success,success,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
P1451__1024__1175___824.png,1024,1024,2.1076,success,success,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
P1632__1024__824___0.png,1024,1024,0.8066,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1078__1024__1000___1138.png,1024,1024,1.3287,success,success,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1676__1024__2472___0.png,1024,1024,0.6815,success,success,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P1623__1024__2472___824.png,1024,1024,0.5642,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1502__1024__824___3310.png,1024,1024,1.2072,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1854__1024__9064___2472.png,1024,1024,2.0164,success,success,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P0849__1024__0___140.png,1024,1024,1.9496,success,success,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
P1768__1024__0___0.png,1024,1024,1.0882,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1170__1024__1648___1648.png,1024,1024,1.6068,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P1150__1024__824___824.png,1024,1024,0.9895,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1676__1024__3267___824.png,1024,1024,0.7922,success,success,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
